label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,Comment,elevation,APC_Diameter_numeric,APC_Depth_numeric,type_score,priority_score,morphology_score
CC0221,239.6554,-11.51587,sky,0,,,skylight off Arsia south flank,11526.07097894334,,,5,5,5.0
CC0253,248.4829,3.75879,sky,0,,,Famous pit-floor cave on Pavonis,5432.76359531329,,,5,5,5.0
CC0256,250.5591,6.30237,sky,0,,,Lavatube impact NW,4617.486193366982,,,5,5,5.0
CC0257,250.5629,6.29941,sky,0,,,Lavatube impact SE,4620.675722883154,,,5,5,5.0
CC0274,242.1563,-2.37024,sky,0,,,Line of trench pits,7043.448118785054,,,5,5,5.0
CC0275,242.1466,-2.33789,sky,0,,,Trench pit,7033.465931195207,,,5,5,5.0
CC0276,242.2905,-2.48511,sky,0,,,Trench pit,7085.194926787617,,,5,5,5.0
CC0304,236.3029,-1.41553,sky,0,,,Skylight,4256.461743221204,,,5,5,5.0
CC0305,236.4304,-1.38672,sky,0,,,Skylight,4291.38103348613,,,5,5,5.0
CC0306,236.4329,-1.38782,sky,0,,,Skylight,4291.826795984031,,,5,5,5.0
CC0307,236.4423,-1.39038,sky,0,,,Skylight,4293.121107918255,,,5,5,5.0
CC0308,236.4658,-1.42175,sky,0,,,Skylight,4308.4398638010425,,,5,5,5.0
CC0348,236.3306,0.59424,sky,0,,,Skylight,4236.456554093951,,,5,5,5.0
CC0480,241.8828,-2.27867,sky,0,,,Small fracture skylight,6995.788436311002,,,5,5,5.0
CC0481,241.8877,-2.27881,sky,0,,,Large fracture skylight,6995.869033556799,,,5,5,5.0
CC0482,241.9834,-2.27173,sky,0,,,Largest fracture skylight,7006.883214338085,,,5,5,5.0
CC0774,236.1148,-3.14771,sky,0,,,tube skylight,4560.08645535799,,,5,5,5.0
CC0775,236.0798,-3.08081,sky,0,,,tube skylight,4547.442085513359,,,5,5,5.0
CC0776,236.0749,-3.0733,sky,0,,,tube skylight,4545.256094899753,,,5,5,5.0
CC0777,236.0728,-3.0528,sky,0,,,tube skylight,4540.051837367016,,,5,5,5.0
CC0778,236.0729,-3.04926,sky,0,,,tube skylight,4538.574150329942,,,5,5,5.0
CC0779,236.0719,-3.04401,sky,0,,,tube skylight,4535.956203274758,,,5,5,5.0
CC0780,236.0627,-3.00909,sky,0,,,tube skylight,4509.380278188093,,,5,5,5.0
CC0781,236.0446,-2.99792,sky,0,,,tube skylight,4499.525345783648,,,5,5,5.0
CC0782,236.04,-2.99756,sky,0,,,tube skylight,4498.481983681395,,,5,5,5.0
CC0783,236.0365,-2.99695,sky,0,,,tube skylight,4497.57799338245,,,5,5,5.0
CC0784,236.0146,-2.93555,sky,0,,,tube skylight,4478.883806619745,,,5,5,5.0
CC0785,235.9832,-2.91675,sky,0,,,tube skylight,4473.990267066917,,,5,5,5.0
CC0786,235.9755,-2.91278,sky,0,,,tube skylight,4469.38450073459,,,5,5,5.0
CC0787,235.9736,-2.89459,sky,0,,,tube skylight,4462.514814668724,,,5,5,5.0
CC0788,235.9763,-2.88922,sky,0,,,tube skylight,4462.095413208289,,,5,5,5.0
CC0789,235.9979,-2.85663,sky,0,,,tube skylight,4451.851312428005,,,5,5,5.0
CC0790,235.968,-2.86755,sky,0,,,tube skylight,4453.576426543431,,,5,5,5.0
CC0791,235.9623,-2.85175,sky,0,,,tube skylight,4446.215376995204,,,5,5,5.0
CC0792,235.9459,-2.83087,sky,0,,,tube skylight,4438.65555259696,,,5,5,5.0
CC0804,239.5204,-11.74243,sky,0,,,small 30m skylight in old pit chain,11381.32242850867,,,5,5,5.0
CC0805,239.0983,-11.34962,sky,0,,,small skylight,11986.072370954598,,,5,5,5.0
CC0806,239.1036,-11.3175,sky,0,,,small skylight,12036.115746787094,,,5,5,5.0
