label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,themis_tile,themis_quantitative_product_name,Comment
CC0221,239.6554,-11.51587,sky,0,,,,11526.07097894334,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight off Arsia south flank
CC0253,248.4829,3.75879,sky,0,,,,5432.76359531329,,5.0,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Famous pit-floor cave on Pavonis
CC0256,250.5591,6.30237,sky,0,,,,4617.486193366982,,5.0,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Lavatube impact NW
CC0257,250.5629,6.29941,sky,0,,,,4620.675722883154,,5.0,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Lavatube impact SE
CC0272,348.9619,34.21344,sky,0,,,,-4685.077564118701,,5.0,30N300E,THEMIS Thermal Inertia Mosaic Quantitative 30N300E 100mpp,Tube?
CC0274,242.1563,-2.37024,sky,0,,,,7043.448118785054,,5.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,Line of trench pits
CC0275,242.1466,-2.33789,sky,0,,,,7033.465931195207,,5.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,Trench pit
CC0276,242.2905,-2.48511,sky,0,,,,7085.194926787617,,5.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,Trench pit
CC0304,236.3029,-1.41553,sky,0,,,,4256.461743221204,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0305,236.4304,-1.38672,sky,0,,,,4291.38103348613,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0306,236.4329,-1.38782,sky,0,,,,4291.826795984031,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
