label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,themis_tile,themis_quantitative_product_name,Comment,TI_center_pixel,TI_center_mean_3x3,TI_center_median_3x3,TI_surrounding_mean,TI_surrounding_median,TI_surrounding_std,Delta_TI,Local_TI_zscore,valid_surrounding_pixels,thermal_status,pixel_row,pixel_col,raster_file,thermal_rank_score
CC0846,250.8204,28.02429,lat,0,,,,3524.925759418053,,3.8,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Pit wall candidate in Ceraunius Fossae -see stretch,365.6624450683594,371.5733574761285,364.8625793457031,318.7925147624931,316.90667724609375,22.344941800262408,46.07006458321001,2.061767043075001,1188,ok,1171,6414,THEMIS_TI_Mosaic_Quant_00N240E_100mpp.tif,0.9826388888888888
APC133,250.3825,30.53043,APC,1,140,70.0,140.0,3205.210420382471,70.0,4.0,30N240E,THEMIS Thermal Inertia Mosaic Quantitative 30N240E 100mpp,APC Lathrop contrib,385.28466796875,393.76229519314234,385.28466796875,342.57792529995595,342.1455383300781,20.96362737616494,42.70674266879405,2.0371828740550133,1188,ok,17468,6154,THEMIS_TI_Mosaic_Quant_30N240E_100mpp.tif,0.9826388888888888
APC109,139.3289,29.70285,APC,1,240,74.0,240.0,-2211.7738899867777,74.0,4.0,00N120E,THEMIS Thermal Inertia Mosaic Quantitative 00N120E 100mpp,220x260ish,828.7474365234375,871.6947970920139,873.9270629882812,614.0452806620485,804.1644592285156,368.67380676953417,259.8817823262327,0.704909807950339,1188,ok,176,11457,THEMIS_TI_Mosaic_Quant_00N120E_100mpp.tif,0.9805555555555556
APC141,225.4586,-24.78119,APC,0,110,35.0,110.0,2166.3671476752006,35.0,4.4,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,SW Daedalia APC,494.4209289550781,494.36751980251734,494.4209289550781,470.5786203711924,469.68003845214844,22.324327592586453,23.84230858388571,1.0679967172585012,1188,ok,14688,26945,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.9739583333333334
APC091,240.03,-6.52,APC,1,250,155.0,250.0,11076.346783999994,155.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC,287.9872131347656,295.3850809733073,287.9872131347656,257.69080277399064,254.17021942138672,17.92521914472118,30.296410360774985,1.690155646978353,1174,ok,3864,18,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.9684027777777777
APC026,257.1238,12.6433,APC,1,60,48.0,60.0,10708.2577836794,48.0,4.0,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Ascraeus NE flank 60m APC in chain with largers,289.2646484375,276.94974433051215,276.20965576171875,194.17706115157515,234.72211456298828,72.41741989011342,82.0325946101436,1.132774334333097,1188,ok,10288,10150,THEMIS_TI_Mosaic_Quant_00N240E_100mpp.tif,0.9666666666666667
CC0832,155.0078,11.40808,lat,0,,,,-2343.50933210727,,3.8,00N120E,THEMIS Thermal Inertia Mosaic Quantitative 00N120E 100mpp,Lateral fracture candidate in Cerberus Fossae,289.6013488769531,314.61524963378906,304.0484924316406,241.4373058357624,204.5118408203125,84.95622901574849,62.61118659587822,0.736981706006182,1188,ok,11020,20751,THEMIS_TI_Mosaic_Quant_00N120E_100mpp.tif,0.9618055555555556
APC120,237.5425,-14.52867,APC,1,175,88.0,175.0,8499.896235683094,88.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"APC in chain with Catalina, 105 deep,171 across",230.55096435546875,216.58606974283853,214.1825408935547,174.5313230443884,171.51140594482422,15.254157266611026,39.6512178491663,2.599371250482427,1188,ok,8611,34108,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.9434027777777778
APC089,238.41,-18.55,APC,1,240,80.0,240.0,5486.468000000022,80.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"APC, AA, nochain",219.69862365722656,226.25149875217014,226.62039184570312,205.21423599294542,206.3161163330078,16.010669651797958,21.406155852757706,1.3369931625785465,1188,ok,10995,34622,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.9371527777777777
APC029,240.723,-18.73004,APC,1,65,80.0,65.0,5734.65306525899,80.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC deep nochain,224.76535034179688,226.6207767062717,226.4318084716797,201.88041821874754,204.68285369873047,23.58614776628418,24.55139025293215,1.0409241261528837,1188,ok,11102,428,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.9354166666666667
