label,longitude,latitude,TypeCode,Priority,TI_center_median_3x3,TI_surrounding_mean,Delta_TI,Local_TI_zscore,thermal_rank_score,morphology_score,Comment
CC0846,250.8204,28.02429,lat,0,364.8625793457031,318.7925147624931,46.07006458321001,2.061767043075001,0.9826388888888888,3.8,Pit wall candidate in Ceraunius Fossae -see stretch
APC133,250.3825,30.53043,APC,1,385.28466796875,342.57792529995595,42.70674266879405,2.0371828740550133,0.9826388888888888,4.0,APC Lathrop contrib
APC109,139.3289,29.70285,APC,1,873.9270629882812,614.0452806620485,259.8817823262327,0.704909807950339,0.9805555555555556,4.0,220x260ish
APC141,225.4586,-24.78119,APC,0,494.4209289550781,470.5786203711924,23.84230858388571,1.0679967172585012,0.9739583333333334,4.4,SW Daedalia APC
APC091,240.03,-6.52,APC,1,287.9872131347656,257.69080277399064,30.296410360774985,1.690155646978353,0.9684027777777776,4.0,APC
APC026,257.1238,12.6433,APC,1,276.20965576171875,194.17706115157517,82.0325946101436,1.132774334333097,0.9666666666666668,4.0,Ascraeus NE flank 60m APC in chain with largers
CC0832,155.0078,11.40808,lat,0,304.0484924316406,241.4373058357624,62.61118659587822,0.736981706006182,0.9618055555555556,3.8,Lateral fracture candidate in Cerberus Fossae
APC120,237.5425,-14.52867,APC,1,214.1825408935547,174.5313230443884,39.6512178491663,2.599371250482427,0.9434027777777778,4.0,"APC in chain with Catalina, 105 deep,171 across"
APC089,238.41,-18.55,APC,1,226.62039184570312,205.21423599294545,21.406155852757703,1.3369931625785465,0.9371527777777776,4.0,"APC, AA, nochain"
APC029,240.723,-18.73004,APC,1,226.4318084716797,201.88041821874756,24.55139025293215,1.0409241261528837,0.9354166666666668,4.0,APC deep nochain
CC0718,161.1275,9.64604,lat,0,262.5556640625,223.69165495028,38.86400911222003,0.5320721203379891,0.9333333333333332,3.8,cliff wall fracture intersect
CC0892,246.9785,27.64278,pit,0,224.07601928710935,206.457683768738,17.618335518371367,1.8581776637516725,0.9326388888888888,3.8,Tharsis vent candidate
APC087,237.3879,-19.57495,APC,1,212.86160278320312,194.2469982442631,18.61460453894003,0.8768127923204413,0.9170138888888888,4.0,APC Elliot
CC0847,250.8189,28.02674,lat,0,329.9963073730469,319.32841992619063,10.66788744685624,0.4451684821153905,0.9145833333333332,3.8,Pit wall candidate in Ceraunius Fossae -see stretch
APC106,139.1303,28.58124,APC,1,631.7689819335938,610.564435143262,21.204546790331733,0.2206731037510626,0.9135416666666666,4.0,sloped floor?
CC0891,246.9805,27.64392,pit,0,216.2843170166016,206.31153710362085,9.972779912980712,1.0597083511177638,0.9100694444444444,3.8,Tharsis vent candidate
CC0742,226.5841,17.7379,lat,0,448.0191650390625,432.6872676117252,15.33189742733731,0.2783297661145321,0.9090277777777778,3.8,Good lateral candidate in Olympus Mons caldera rim
APC098,245.85,-16.25,APC,0,186.5811004638672,174.69829104645083,11.882809417416354,1.3589727843169823,0.8951388888888888,4.4,APC
APC053,239.9044,-11.35315,APC,1,198.11248779296875,183.89095454103617,14.221533251932584,0.6681981405518187,0.8892361111111111,4.0,APC near chains
